Seq,w1mpro,w2mpro,mjd
213,11.472,10.453,56796.8028
213,11.481,10.427,56795.35509
213,11.448,10.462,56798.31621
213,11.471,10.442,56797.066
213,11.47,10.441,57164.88129
213,11.491,10.471,57166.32492
213,11.762,10.785,56793.71002
213,11.597,10.566,56791.99911
213,11.475,10.352,56976.96867
213,11.478,10.416,56976.83713
213,11.586,10.46,56799.17179
213,11.464,10.457,56799.30333
213,11.483,10.443,56978.94075
213,11.497,10.399,56978.02048
213,11.491,10.468,56803.64618
213,11.51,10.45,56800.22449
213,11.461,10.456,56977.75753
213,11.441,10.437,56977.62611
213,11.474,10.424,56980.25565
213,11.473,10.464,56982.0962
213,11.464,10.443,56796.53959
213,11.485,10.454,56796.01318
213,11.474,10.457,56796.93446
213,11.456,10.502,56798.2505
213,11.477,10.422,56795.74997
213,11.856,10.778,56797.13184
213,11.464,10.432,57165.40618
213,11.491,10.463,57164.61872
213,11.443,10.44,57341.14962
